Thread   Start(us)  B/E     Dur(us)  Name/Detail
   259  2120748653  END          20  (A) SymbolTableAnalysis
   259  2120826806  END       81216  CheckLifetimes
   259  2122164448  BEG        3341  AnnotateKernels
   259  2122167789  END        3341  AnnotateKernels
   259  2122167793  BEG         621  VerifyKernels
   259  2122168415  END         621  VerifyKernels
   259  2122168415  BEG        4907  LowerSemanticCF
   259  2122173323  END        4907  LowerSemanticCF
   259  2122173325  BEG       73266  CheckLifetimes
   259  2122175465  BEG          16  (A) SymbolTableAnalysis
   259  2122175482  END          16  (A) SymbolTableAnalysis
   259  2122246592  END       73266  CheckLifetimes
   259  2124440310  BEG        4010  AnnotateKernels
   259  2124444320  END        4010  AnnotateKernels
   259  2124444322  BEG         851  VerifyKernels
   259  2124445173  END         851  VerifyKernels
   259  2124445174  BEG        6550  LowerSemanticCF
   259  2124451725  END        6550  LowerSemanticCF
   259  2124451727  BEG       74547  CheckLifetimes
   259  2124454052  BEG          16  (A) SymbolTableAnalysis
   259  2124454068  END          16  (A) SymbolTableAnalysis
   259  2124526275  END       74547  CheckLifetimes
   259  2125830823  BEG        3685  AnnotateKernels
   259  2125834509  END        3685  AnnotateKernels
   259  2125834513  BEG         702  VerifyKernels
   259  2125835215  END         702  VerifyKernels
   259  2125835216  BEG        6569  LowerSemanticCF
   259  2125841785  END        6569  LowerSemanticCF
   259  2125841788  BEG      111940  CheckLifetimes
   259  2125844558  BEG          17  (A) SymbolTableAnalysis
   259  2125844575  END          17  (A) SymbolTableAnalysis
   259  2125953728  END      111940  CheckLifetimes
   259  2129043663  BEG        2791  AnnotateKernels
   259  2129046455  END        2791  AnnotateKernels
   259  2129046455  BEG         583  VerifyKernels
   259  2129047038  END         583  VerifyKernels
   259  2129047038  BEG        4806  LowerSemanticCF
   259  2129051845  END        4806  LowerSemanticCF
   259  2129051848  BEG       58149  CheckLifetimes
   259  2129053664  BEG          11  (A) SymbolTableAnalysis
   259  2129053676  END          11  (A) SymbolTableAnalysis
   259  2129109997  END       58149  CheckLifetimes
   259  2130519038  BEG        3179  AnnotateKernels
   259  2130522218  END        3179  AnnotateKernels
   259  2130522219  BEG         737  VerifyKernels
   259  2130522957  END         737  VerifyKernels
   259  2130522958  BEG        5085  LowerSemanticCF
   259  2130528043  END        5085  LowerSemanticCF
   259  2130528046  BEG       67324  CheckLifetimes
   259  2130530090  BEG          13  (A) SymbolTableAnalysis
   259  2130530103  END          13  (A) SymbolTableAnalysis
   259  2130595371  END       67324  CheckLifetimes
   259  2133184161  BEG        3278  AnnotateKernels
   259  2133187439  END        3278  AnnotateKernels
   259  2133187443  BEG         872  VerifyKernels
   259  2133188316  END         872  VerifyKernels
   259  2133188317  BEG        5327  LowerSemanticCF
   259  2133193644  END        5327  LowerSemanticCF
   259  2133193646  BEG       61102  CheckLifetimes
   259  2133195496  BEG          13  (A) SymbolTableAnalysis
   259  2133195509  END          13  (A) SymbolTableAnalysis
   259  2133254749  END       61102  CheckLifetimes
   259  2134851029  BEG        2932  AnnotateKernels
   259  2134853961  END        2932  AnnotateKernels
   259  2134853975  BEG         611  VerifyKernels
   259  2134854586  END         611  VerifyKernels
   259  2134854587  BEG        5138  LowerSemanticCF
   259  2134859725  END        5138  LowerSemanticCF
   259  2134859727  BEG       64657  CheckLifetimes
   259  2134861773  BEG          12  (A) SymbolTableAnalysis
   259  2134861786  END          12  (A) SymbolTableAnalysis
   259  2134924384  END       64657  CheckLifetimes
   259  2155470127  BEG        2947  AnnotateKernels
   259  2155473075  END        2947  AnnotateKernels
   259  2155473078  BEG         630  VerifyKernels
   259  2155473708  END         630  VerifyKernels
   259  2155473709  BEG        5206  LowerSemanticCF
   259  2155478916  END        5206  LowerSemanticCF
   259  2155478918  BEG       62839  CheckLifetimes
   259  2155481131  BEG          13  (A) SymbolTableAnalysis
   259  2155481145  END          13  (A) SymbolTableAnalysis
   259  2155541757  END       62839  CheckLifetimes
   259  2156842832  BEG        3001  AnnotateKernels
   259  2156845833  END        3001  AnnotateKernels
